nim,nama_mhs,kode_mk,nama_mk,sks,nidn_dosen,nama_dosen,nohp_mhs
202000192,Fitria Anggriawan,SI043,Manajemen Pengetahuan,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0812-8141-2478
202000922,Elma Firgantoro,SI059,Sistem Operasi,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0822-3973-5971
202000146,Yono Prabowo,SI002,Information Retrieval,3,0100000039,"Bakiadi Thamrin, S.Kom., M.Kom.",0853-1177-5891
202000683,Galak Agustina,SI061,Sistem Pakar,3,0100000023,"Prof. Dr. Prasetyo Sirait, S.Kom., M.MSI",0821-0604-6333
202000439,Daliono Nababan,SI043,Manajemen Pengetahuan,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0851-2299-9119
202000022,Dagel Tamba,SI023,Keamanan Informasi,4,0100000002,"Bakidin Thamrin, S.Kom., M.Kom.",0851-5787-1331
202000998,Muhammad Permadi,SI034,Statistika Probabilitas,3,0100000037,"Yance Handayani, Ph.D.",0813-2877-7251
202000903,Lukman Yolanda,SI010,Pemrograman Lintas Platform,3,0100000028,"Dr. Samsul Hutapea, S.Kom., M.MSI",0812-3915-5963
202000175,Ulva Sihotang,SI087,Virtual Reality,3,0100000033,"Dr. Marwata Wijayanti, S.T., M.Eng.",0812-7744-9058
202000779,Tira Santoso,SI002,Information Retrieval,3,0100000039,"Bakiadi Thamrin, S.Kom., M.Kom.",0853-5174-3280
202000609,Latika Megantara,SI046,Arsitektur Microservices,2,0100000048,"Prof. Dr. Violet Farida, Ph.D.",0811-5577-8487
202000993,Purwadi Halimah,SI061,Sistem Pakar,3,0100000023,"Prof. Dr. Prasetyo Sirait, S.Kom., M.MSI",0856-6115-9408
202000598,Martaka Hakim,SI001,Pengolahan Citra Digital,2,0100000004,"Dr. Syahrini Natsir, S.Kom., M.Kom.",0811-3471-7545
202000501,Mariadi Suartini,SI032,Jaringan Komputer,3,0100000032,"Prof. Dr. Danang Hutapea, M.Kom., Ph.D.",0813-7080-8697
202000484,Karsana Utami,SI015,Reinforcement Learning,3,0100000014,"Raden Palastri, S.Kom., M.MSI",0823-2166-7467
202000047,Yuni Puspita,SI003,Network Security,4,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0858-5634-2160
202000581,Cakrawala Halimah,SI088,Aljabar Linear,3,0100000001,"Mulya Mansur, S.T., M.T.",0858-7697-3577
202000298,Talia Ardianto,SI030,Business Intelligence,2,0100000040,"Ir. Paris Fujiati, S.T., M.T.",0858-2038-7509
202000538,Rika Sudiati,SI065,User Experience (UX) Design,3,0100000039,"Bakiadi Thamrin, S.Kom., M.Kom.",0823-6205-3364
202000172,Latika Pratiwi,SI097,Arsitektur Microservices,3,0100000049,"Bagiya Mahendra, S.Kom., M.Kom.",0853-8355-2312
202000151,Kenzie Anggraini,SI100,DevOps Engineering,3,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0851-1183-6736
202000097,Dwi Mahendra,SI013,Ethical Hacking,4,0100000029,"Ir. Satya Suartini, S.T., M.Eng.",0857-1232-8120
202000312,Wasis Hartati,SI095,Game Development,4,0100000032,"Prof. Dr. Danang Hutapea, M.Kom., Ph.D.",0858-1142-6265
202000344,Warji Mahendra,SI058,Visualisasi Data,3,0100000026,"Dr. Oman Maryati, S.T., M.T.",0823-0723-6887
202000503,Cemplunk Pradana,SI095,Game Development,4,0100000032,"Prof. Dr. Danang Hutapea, M.Kom., Ph.D.",0823-8669-3465
202000360,Bala Tampubolon,SI070,Pemrograman Mikrokontroler,2,0100000026,"Dr. Oman Maryati, S.T., M.T.",0822-1541-5206
202000264,Lasmanto Widiastuti,SI085,Semantic Web,3,0100000045,"Dewi Wastuti, S.Kom., M.MSI",0821-0463-7454
202000499,Caraka Rahimah,SI033,Internet of Things (IoT),4,0100000026,"Dr. Oman Maryati, S.T., M.T.",0856-3316-3735
202000374,Luthfi Kurniawan,SI059,Sistem Operasi,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0853-9241-4183
202000014,Irnanto Hassanah,SI046,Arsitektur Microservices,2,0100000048,"Prof. Dr. Violet Farida, Ph.D.",0852-1012-2691
202000309,Putri Mayasari,SI091,Rekayasa Perangkat Lunak,2,0100000028,"Dr. Samsul Hutapea, S.Kom., M.MSI",0811-1631-5999
202000342,Uli Wastuti,SI067,Rekayasa Perangkat Lunak,2,0100000016,"Bagya Yuliarti, S.T., M.T.",0813-9662-7828
202000794,Mutia Hutasoit,SI085,Semantic Web,3,0100000045,"Dewi Wastuti, S.Kom., M.MSI",0856-2791-4560
202000878,Margana Suartini,SI077,E-Commerce Strategy,3,0100000036,"Dr. Simon Marbun, S.T., M.Eng.",0852-7002-8427
202000496,Reksa Saputra,SI015,Reinforcement Learning,3,0100000014,"Raden Palastri, S.Kom., M.MSI",0823-8997-5711
202000277,Shakila Sinaga,SI088,Aljabar Linear,3,0100000001,"Mulya Mansur, S.T., M.T.",0813-3004-7868
202000532,Queen Handayani,SI094,Cloud Computing,4,0100000015,"Dr. Warsita Ramadan, S.Kom., M.T.",0851-8814-3536
202000656,Putu Puspita,SI003,Network Security,4,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0813-5832-0679
202000152,Zamira Puspita,SI053,Analisis Desain Sistem,2,0100000050,"Dr. Cahyanto Prakasa, S.Kom., M.T.",0823-7661-5654
202000877,Shania Nainggolan,SI029,Audit Sistem Informasi,4,0100000046,"Prof. Dr. Galuh Dabukke, S.Si., M.Cs.",0853-0061-6756
202000676,Azalea Latupono,SI019,Basis Data,4,0100000012,"Dr. Bakda Sihotang, S.T., M.Eng.",0853-2329-8324
202000366,Gaduh Permadi,SI064,Smart City,2,0100000010,"Dr. Langgeng Pangestu, S.Kom., M.Kom.",0851-9731-1219
202000032,Tina Pradana,SI032,Jaringan Komputer,3,0100000032,"Prof. Dr. Danang Hutapea, M.Kom., Ph.D.",0821-4309-8050
202000592,Jaeman Iswahyudi,SI095,Game Development,4,0100000032,"Prof. Dr. Danang Hutapea, M.Kom., Ph.D.",0856-4284-3479
202000713,Among Tamba,SI056,Machine Learning,2,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0858-0849-5880
202000369,Jane Pratama,SI027,Penjaminan Mutu Software,3,0100000013,"Lukman Mulyani, S.T., M.Eng.",0853-9836-4037
202000763,Uchita Anggraini,SI012,Deep Learning,4,0100000022,"Raharja Farida, S.Kom., M.Kom.",0813-8604-7658
202000199,Kardi Suartini,SI049,PBO Lanjut,2,0100000031,"Langgeng Sinaga, M.Kom., Ph.D.",0856-8089-3246
202000655,Vicky Wulandari,SI014,Digital Forensics,2,0100000043,"Dr. Usyi Uyainah, S.T., M.T.",0811-6048-0589
202000989,Najam Hidayat,SI036,Pengembangan Aplikasi Mobile,2,0100000043,"Dr. Usyi Uyainah, S.T., M.T.",0821-7158-6988
202000899,Novi Maryadi,SI081,Cyber Security,3,0100000012,"Dr. Bakda Sihotang, S.T., M.Eng.",0857-0324-2044
202000696,Upik Iswahyudi,SI070,Pemrograman Mikrokontroler,2,0100000026,"Dr. Oman Maryati, S.T., M.T.",0822-0777-8097
202000921,Cinthia Namaga,SI058,Visualisasi Data,3,0100000026,"Dr. Oman Maryati, S.T., M.T.",0821-4362-6204
202000982,Edward Siregar,SI068,Grafika Komputer,2,0100000030,"Gatra Palastri, S.Kom., M.Kom.",0812-8848-5200
202000180,Laswi Hidayanto,SI034,Statistika Probabilitas,3,0100000037,"Yance Handayani, Ph.D.",0821-7788-9255
202000933,Usman Pradipta,SI087,Virtual Reality,3,0100000033,"Dr. Marwata Wijayanti, S.T., M.Eng.",0852-1215-1342
202000358,Carub Halimah,SI043,Manajemen Pengetahuan,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0856-7500-1701
202000401,Joko Irawan,SI076,Teknik Kompilasi,4,0100000038,"Nardi Hassanah, S.T., M.Eng.",0812-0702-9667
202000428,Mitra Thamrin,SI036,Pengembangan Aplikasi Mobile,2,0100000043,"Dr. Usyi Uyainah, S.T., M.T.",0823-0614-9731
202000317,Kunthara Farida,SI025,Virtual Reality,3,0100000039,"Bakiadi Thamrin, S.Kom., M.Kom.",0853-2622-4447
202000043,Gangsa Nasyidah,SI075,Interaksi Manusia dan Komputer,3,0100000016,"Bagya Yuliarti, S.T., M.T.",0813-7868-0112
202000533,Baktiono Putra,SI090,Sistem Pakar,2,0100000011,"Dr. Bakianto Pangestu, S.Kom., M.Kom.",0857-8222-3943
202000352,Baktianto Rajata,SI079,Sistem Pendukung Keputusan,2,0100000030,"Gatra Palastri, S.Kom., M.Kom.",0823-4494-8126
202000126,Dagel Wahyuni,SI056,Machine Learning,2,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0812-7594-6474
202000815,Kajen Siregar,SI059,Sistem Operasi,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0823-0850-1657
202000581,Cakrawala Halimah,SI045,Arsitektur Komputer,2,0100000022,"Raharja Farida, S.Kom., M.Kom.",0858-7697-3577
202000296,Alika Wacana,SI015,Reinforcement Learning,3,0100000014,"Raden Palastri, S.Kom., M.MSI",0858-5228-7280
202000993,Purwadi Halimah,SI002,Information Retrieval,3,0100000039,"Bakiadi Thamrin, S.Kom., M.Kom.",0856-6115-9408
202000511,Gilang Padmasari,SI088,Aljabar Linear,3,0100000001,"Mulya Mansur, S.T., M.T.",0858-4066-6580
202000698,Suci Uyainah,SI020,Sistem Terdistribusi,4,0100000045,"Dewi Wastuti, S.Kom., M.MSI",0856-0384-9830
202000536,Taufik Laksita,SI038,Sistem Informasi Manajemen,2,0100000038,"Nardi Hassanah, S.T., M.Eng.",0813-3149-1357
202000639,Dagel Utami,SI072,Big Data Analytics,2,0100000015,"Dr. Warsita Ramadan, S.Kom., M.T.",0856-6789-9405
202000681,Zamira Namaga,SI021,Semantic Web,3,0100000035,"Tri Suartini, S.Kom., M.MSI",0821-3051-7289
202000311,Tri Manullang,SI063,Computer Vision,4,0100000028,"Dr. Samsul Hutapea, S.Kom., M.MSI",0851-6296-1943
202000296,Alika Wacana,SI009,Aljabar Linear,2,0100000047,"Edison Sudiati, S.T., M.Eng.",0858-5228-7280
202000819,Eka Wibowo,SI038,Sistem Informasi Manajemen,2,0100000038,"Nardi Hassanah, S.T., M.Eng.",0823-7788-1788
202000016,Adinata Manullang,SI059,Sistem Operasi,3,0100000034,"Lantar Samosir, S.Kom., M.T.",0857-8451-4627
202000042,Ophelia Usada,SI028,Software Testing,4,0100000002,"Bakidin Thamrin, S.Kom., M.Kom.",0811-1640-0524
202000290,Bakiman Prasasta,SI076,Teknik Kompilasi,4,0100000038,"Nardi Hassanah, S.T., M.Eng.",0821-1739-3638
202000127,Setya Thamrin,SI007,Algoritma Genetika,4,0100000005,"Yessi Hariyah, S.Si., M.Cs.",0821-6713-6959
202000501,Mariadi Suartini,SI040,Logika Fuzzy,4,0100000018,"Ir. Nasab Hardiansyah, S.Si., M.Cs.",0813-7080-8697
202000006,Cayadi Rahayu,SI056,Machine Learning,2,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0858-7816-1849
202000361,Ikin Yulianti,SI085,Semantic Web,3,0100000045,"Dewi Wastuti, S.Kom., M.MSI",0857-4361-1037
202000855,Jane Prastuti,SI001,Pengolahan Citra Digital,2,0100000004,"Dr. Syahrini Natsir, S.Kom., M.Kom.",0823-4527-9852
202000052,Cahyadi Prabowo,SI033,Internet of Things (IoT),4,0100000026,"Dr. Oman Maryati, S.T., M.T.",0812-6934-0608
202000142,Shania Namaga,SI045,Arsitektur Komputer,2,0100000022,"Raharja Farida, S.Kom., M.Kom.",0811-5329-3183
202000900,Mulyanto Hutapea,SI037,Desain API,4,0100000044,"Prof. Dr. Rosman Utama, M.Kom., Ph.D.",0857-8207-0015
202000805,Satya Kusumo,SI065,User Experience (UX) Design,3,0100000039,"Bakiadi Thamrin, S.Kom., M.Kom.",0852-7625-3492
202000682,Salman Rahmawati,SI099,Reinforcement Learning,4,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0852-5267-7223
202000575,Mala Sitompul,SI020,Sistem Terdistribusi,4,0100000045,"Dewi Wastuti, S.Kom., M.MSI",0856-8839-2053
202000977,Budi Kusumo,SI012,Deep Learning,4,0100000022,"Raharja Farida, S.Kom., M.Kom.",0823-5626-0602
202000731,Ami Handayani,SI035,Sistem Pendukung Keputusan,3,0100000011,"Dr. Bakianto Pangestu, S.Kom., M.Kom.",0858-5577-0171
202000147,Rama Halim,SI094,Cloud Computing,4,0100000015,"Dr. Warsita Ramadan, S.Kom., M.T.",0852-8390-8470
202000202,Karsana Mayasari,SI056,Machine Learning,2,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0852-0654-0515
202000600,Pangestu Astuti,SI011,Blockchain Technology,4,0100000033,"Dr. Marwata Wijayanti, S.T., M.Eng.",0857-9399-8245
202000298,Talia Ardianto,SI029,Audit Sistem Informasi,4,0100000046,"Prof. Dr. Galuh Dabukke, S.Si., M.Cs.",0858-2038-7509
202000033,Labuh Hutapea,SI061,Sistem Pakar,3,0100000023,"Prof. Dr. Prasetyo Sirait, S.Kom., M.MSI",0811-9788-2081
202000956,Cindy Wahyudin,SI046,Arsitektur Microservices,2,0100000048,"Prof. Dr. Violet Farida, Ph.D.",0852-2760-1227
202000255,Teddy Adriansyah,SI087,Virtual Reality,3,0100000033,"Dr. Marwata Wijayanti, S.T., M.Eng.",0858-9330-8330
202000653,Waluyo Hutagalung,SI050,Bioinformatika,2,0100000038,"Nardi Hassanah, S.T., M.Eng.",0813-7919-4096
202000433,Digdaya Nasyiah,SI052,Game Development,2,0100000022,"Raharja Farida, S.Kom., M.Kom.",0856-3806-8687
202000991,Cinthia Mayasari,SI013,Ethical Hacking,4,0100000029,"Ir. Satya Suartini, S.T., M.Eng.",0813-8277-2881
202000915,Lasmanto Najmudin,SI034,Statistika Probabilitas,3,0100000037,"Yance Handayani, Ph.D.",0822-2954-3165
202000943,Enteng Ramadan,SI039,Kalkulus I,4,0100000005,"Yessi Hariyah, S.Si., M.Cs.",0822-9961-6592
202000612,Vega Rajasa,SI040,Logika Fuzzy,4,0100000018,"Ir. Nasab Hardiansyah, S.Si., M.Cs.",0822-5642-4008
202000178,Usyi Yuliarti,SI073,Kalkulus II,3,0100000042,"Ir. Balijan Hutagalung, S.T., M.Eng.",0858-0793-5978
202000447,Sarah Lestari,SI087,Virtual Reality,3,0100000033,"Dr. Marwata Wijayanti, S.T., M.Eng.",0821-3030-7053
202000897,Prasetyo Suryono,SI042,Kecerdasan Buatan,3,0100000028,"Dr. Samsul Hutapea, S.Kom., M.MSI",0822-2493-6312
202000824,Bakiadi Fujiati,SI075,Interaksi Manusia dan Komputer,3,0100000016,"Bagya Yuliarti, S.T., M.T.",0821-8569-5579
202000143,Among Iswahyudi,SI088,Aljabar Linear,3,0100000001,"Mulya Mansur, S.T., M.T.",0856-3352-9042
202000787,Rahmi Dabukke,SI026,Sinyal Digital,2,0100000050,"Dr. Cahyanto Prakasa, S.Kom., M.T.",0812-1799-3136
202000257,Yuliana Winarsih,SI018,Algoritma dan Pemrograman,4,0100000031,"Langgeng Sinaga, M.Kom., Ph.D.",0851-7734-5401
202000427,Soleh Pudjiastuti,SI071,Robotika Dasar,2,0100000005,"Yessi Hariyah, S.Si., M.Cs.",0821-1069-8720
202000205,Rachel Anggraini,SI039,Kalkulus I,4,0100000005,"Yessi Hariyah, S.Si., M.Cs.",0822-3030-5486
202000313,Karja Prayoga,SI011,Blockchain Technology,4,0100000033,"Dr. Marwata Wijayanti, S.T., M.Eng.",0823-1104-7541
202000305,Emas Hariyah,SI073,Kalkulus II,3,0100000042,"Ir. Balijan Hutagalung, S.T., M.Eng.",0856-1803-3974
202000950,Uda Mulyani,SI081,Cyber Security,3,0100000012,"Dr. Bakda Sihotang, S.T., M.Eng.",0858-4597-7945
202000473,Tania Hutapea,SI070,Pemrograman Mikrokontroler,2,0100000026,"Dr. Oman Maryati, S.T., M.T.",0853-2150-6489
202000188,Okta Suryono,SI049,PBO Lanjut,2,0100000031,"Langgeng Sinaga, M.Kom., Ph.D.",0858-9270-6537
202000802,Radit Saputra,SI056,Machine Learning,2,0100000025,"Zalindra Mandasari, S.Kom., M.T.",0812-7970-6239
202000099,Hasna Marbun,SI018,Algoritma dan Pemrograman,4,0100000031,"Langgeng Sinaga, M.Kom., Ph.D.",0858-7134-9361
202000540,Luthfi Puspasari,SI057,Data Mining,2,0100000004,"Dr. Syahrini Natsir, S.Kom., M.Kom.",0853-1291-4283
202000711,Darmaji Wijayanti,SI041,Quantum Computing Intro,4,0100000044,"Prof. Dr. Rosman Utama, M.Kom., Ph.D.",0856-0235-5770
202000516,Maras Winarsih,SI088,Aljabar Linear,3,0100000001,"Mulya Mansur, S.T., M.T.",0813-5909-4798
202000730,Simon Kurniawan,SI046,Arsitektur Microservices,2,0100000048,"Prof. Dr. Violet Farida, Ph.D.",0852-3329-4562
202000480,Atmaja Pradipta,SI046,Arsitektur Microservices,2,0100000048,"Prof. Dr. Violet Farida, Ph.D.",0812-9721-8114
202000438,Michelle Suryono,SI060,Manajemen Basis Data Lanjut,2,0100000007,"Rina Najmudin, M.Kom., Ph.D.",0822-8709-9861
